start_id,end_id
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
Q7251,Q20895949
Q7251,Q772056
Q7251,Q20895966
Q7251,Q622849
Q7251,Q163310
Q7251,Q189223
Q7251,Q197970
Q7251,Q309157
Q7251,Q2703890
Q7251,Q7661303
Q7251,Q1190223
Q7251,Q480476
Q7251,Q1191836
Q7251,Q1527413
Q7251,Q133854517
Q92741,Q309157
Q92741,Q4353569
Q92741,Q5501323
Q92741,Q1308502
Q92741,Q18212353
Q92741,Q242028
Q224372,Q5583769
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
Q7251,Q20895949
Q7251,Q772056
Q7251,Q20895966
Q7251,Q622849
Q7251,Q163310
Q7251,Q189223
Q7251,Q197970
Q7251,Q309157
Q7251,Q2703890
Q7251,Q7661303
Q7251,Q1190223
Q7251,Q480476
Q7251,Q1191836
Q7251,Q1527413
Q7251,Q133854517
Q92741,Q309157
Q92741,Q4353569
Q92741,Q5501323
Q92741,Q1308502
Q92741,Q18212353
Q92741,Q242028
Q224372,Q5583769
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
Q7251,Q20895949
Q7251,Q772056
Q7251,Q20895966
Q7251,Q622849
Q7251,Q163310
Q7251,Q189223
Q7251,Q197970
Q7251,Q309157
Q7251,Q2703890
Q7251,Q7661303
Q7251,Q1190223
Q7251,Q480476
Q7251,Q1191836
Q7251,Q1527413
Q7251,Q133854517
Q92741,Q309157
Q92741,Q4353569
Q92741,Q5501323
Q92741,Q1308502
Q92741,Q18212353
Q92741,Q242028
Q224372,Q5583769
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
Q7251,Q20895949
Q7251,Q772056
Q7251,Q20895966
Q7251,Q622849
Q7251,Q163310
Q7251,Q189223
Q7251,Q197970
Q7251,Q309157
Q7251,Q2703890
Q7251,Q7661303
Q7251,Q1190223
Q7251,Q480476
Q7251,Q1191836
Q7251,Q1527413
Q7251,Q133854517
Q92741,Q309157
Q92741,Q4353569
Q92741,Q5501323
Q92741,Q1308502
Q92741,Q18212353
Q92741,Q242028
Q224372,Q5583769
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
Q7251,Q20895949
Q7251,Q772056
Q7251,Q20895966
Q7251,Q622849
Q7251,Q163310
Q7251,Q189223
Q7251,Q197970
Q7251,Q309157
Q7251,Q2703890
Q7251,Q7661303
Q7251,Q1190223
Q7251,Q480476
Q7251,Q1191836
Q7251,Q1527413
Q7251,Q133854517
Q92741,Q309157
Q92741,Q4353569
Q92741,Q5501323
Q92741,Q1308502
Q92741,Q18212353
Q92741,Q242028
Q224372,Q5583769
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
Q7251,Q20895949
Q7251,Q772056
Q7251,Q20895966
Q7251,Q622849
Q7251,Q163310
Q7251,Q189223
Q7251,Q197970
Q7251,Q309157
Q7251,Q2703890
Q7251,Q7661303
Q7251,Q1190223
Q7251,Q480476
Q7251,Q1191836
Q7251,Q1527413
Q7251,Q133854517
Q92741,Q309157
Q92741,Q4353569
Q92741,Q5501323
Q92741,Q1308502
Q92741,Q18212353
Q92741,Q242028
Q224372,Q5583769
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
Q7251,Q20895949
Q7251,Q772056
Q7251,Q20895966
Q7251,Q622849
Q7251,Q163310
Q7251,Q189223
Q7251,Q197970
Q7251,Q309157
Q7251,Q2703890
Q7251,Q7661303
Q7251,Q1190223
Q7251,Q480476
Q7251,Q1191836
Q7251,Q1527413
Q7251,Q133854517
Q92741,Q309157
Q92741,Q4353569
Q92741,Q5501323
Q92741,Q1308502
Q92741,Q18212353
Q92741,Q242028
Q224372,Q5583769
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
Q7251,Q20895949
Q7251,Q772056
Q7251,Q20895966
Q7251,Q622849
Q7251,Q163310
Q7251,Q189223
Q7251,Q197970
Q7251,Q309157
Q7251,Q2703890
Q7251,Q7661303
Q7251,Q1190223
Q7251,Q480476
Q7251,Q1191836
Q7251,Q1527413
Q7251,Q133854517
Q92741,Q309157
Q92741,Q4353569
Q92741,Q5501323
Q92741,Q1308502
Q92741,Q18212353
Q92741,Q242028
Q224372,Q5583769
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
Q7251,Q20895949
Q7251,Q772056
Q7251,Q20895966
Q7251,Q622849
Q7251,Q163310
Q7251,Q189223
Q7251,Q197970
Q7251,Q309157
Q7251,Q2703890
Q7251,Q7661303
Q7251,Q1190223
Q7251,Q480476
Q7251,Q1191836
Q7251,Q1527413
Q7251,Q133854517
Q92741,Q309157
Q92741,Q4353569
Q92741,Q5501323
Q92741,Q1308502
Q92741,Q18212353
Q92741,Q242028
Q224372,Q5583769
Q298521,Q501747
Q310798,Q15241057
Q310798,Q2987018
Q310798,Q81294
Q450154,Q34308373
