id,name
Q1308502,Church–Rosser theorem
Q18212353,Church–Turing theorem
Q242028,lambda calculus
Q5583769,Good–Turing frequency estimation
Q501747,Naming and Necessity
Q15241057,Wolfram Language
Q2987018,A New Kind of Science
Q81294,Mathematica
Q34308373,Alan Turing: The Enigma
Q20895949,"On Computable Numbers, with an Application to the Entscheidungsproblem"
Q772056,Computing Machinery and Intelligence
Q20895966,Intelligent Machinery
Q622849,halting problem
Q163310,Turing machine
Q189223,Turing test
Q197970,Turing completeness
Q309157,Church–Turing thesis
Q2703890,universal Turing machine
Q7661303,Symmetric Turing machine
Q1190223,non-deterministic Turing machine
Q480476,Bombe
Q1191836,probabilistic Turing machine
Q1527413,Turing degree
Q133854517,Q133854517
Q309157,Church–Turing thesis
Q4353569,Church–Turing–Deutsch principle
Q5501323,Frege–Church ontology
Q1308502,Church–Rosser theorem
Q18212353,Church–Turing theorem
Q242028,lambda calculus
Q5583769,Good–Turing frequency estimation
Q501747,Naming and Necessity
Q15241057,Wolfram Language
Q2987018,A New Kind of Science
Q81294,Mathematica
Q34308373,Alan Turing: The Enigma
Q20895949,"On Computable Numbers, with an Application to the Entscheidungsproblem"
Q772056,Computing Machinery and Intelligence
Q20895966,Intelligent Machinery
Q622849,halting problem
Q163310,Turing machine
Q189223,Turing test
Q197970,Turing completeness
Q309157,Church–Turing thesis
Q2703890,universal Turing machine
Q7661303,Symmetric Turing machine
Q1190223,non-deterministic Turing machine
Q480476,Bombe
Q1191836,probabilistic Turing machine
Q1527413,Turing degree
Q133854517,Q133854517
Q309157,Church–Turing thesis
Q4353569,Church–Turing–Deutsch principle
Q5501323,Frege–Church ontology
Q1308502,Church–Rosser theorem
Q18212353,Church–Turing theorem
Q242028,lambda calculus
Q5583769,Good–Turing frequency estimation
Q501747,Naming and Necessity
Q15241057,Wolfram Language
Q2987018,A New Kind of Science
Q81294,Mathematica
Q34308373,Alan Turing: The Enigma
Q20895949,"On Computable Numbers, with an Application to the Entscheidungsproblem"
Q772056,Computing Machinery and Intelligence
Q20895966,Intelligent Machinery
Q622849,halting problem
Q163310,Turing machine
Q189223,Turing test
Q197970,Turing completeness
Q309157,Church–Turing thesis
Q2703890,universal Turing machine
Q7661303,Symmetric Turing machine
Q1190223,non-deterministic Turing machine
Q480476,Bombe
Q1191836,probabilistic Turing machine
Q1527413,Turing degree
Q133854517,Q133854517
Q309157,Church–Turing thesis
Q4353569,Church–Turing–Deutsch principle
Q5501323,Frege–Church ontology
Q1308502,Church–Rosser theorem
Q18212353,Church–Turing theorem
Q242028,lambda calculus
Q5583769,Good–Turing frequency estimation
Q501747,Naming and Necessity
Q15241057,Wolfram Language
Q2987018,A New Kind of Science
Q81294,Mathematica
Q34308373,Alan Turing: The Enigma
Q20895949,"On Computable Numbers, with an Application to the Entscheidungsproblem"
Q772056,Computing Machinery and Intelligence
Q20895966,Intelligent Machinery
Q622849,halting problem
Q163310,Turing machine
Q189223,Turing test
Q197970,Turing completeness
Q309157,Church–Turing thesis
Q2703890,universal Turing machine
Q7661303,Symmetric Turing machine
Q1190223,non-deterministic Turing machine
Q480476,Bombe
Q1191836,probabilistic Turing machine
Q1527413,Turing degree
Q133854517,Q133854517
Q309157,Church–Turing thesis
Q4353569,Church–Turing–Deutsch principle
Q5501323,Frege–Church ontology
Q1308502,Church–Rosser theorem
Q18212353,Church–Turing theorem
Q242028,lambda calculus
Q5583769,Good–Turing frequency estimation
Q501747,Naming and Necessity
Q15241057,Wolfram Language
Q2987018,A New Kind of Science
Q81294,Mathematica
Q34308373,Alan Turing: The Enigma
Q20895949,"On Computable Numbers, with an Application to the Entscheidungsproblem"
Q772056,Computing Machinery and Intelligence
Q20895966,Intelligent Machinery
Q622849,halting problem
Q163310,Turing machine
Q189223,Turing test
Q197970,Turing completeness
Q309157,Church–Turing thesis
Q2703890,universal Turing machine
Q7661303,Symmetric Turing machine
Q1190223,non-deterministic Turing machine
Q480476,Bombe
Q1191836,probabilistic Turing machine
Q1527413,Turing degree
Q133854517,Q133854517
Q309157,Church–Turing thesis
Q4353569,Church–Turing–Deutsch principle
Q5501323,Frege–Church ontology
Q1308502,Church–Rosser theorem
Q18212353,Church–Turing theorem
Q242028,lambda calculus
Q5583769,Good–Turing frequency estimation
Q501747,Naming and Necessity
Q15241057,Wolfram Language
Q2987018,A New Kind of Science
Q81294,Mathematica
Q34308373,Alan Turing: The Enigma
Q20895949,"On Computable Numbers, with an Application to the Entscheidungsproblem"
Q772056,Computing Machinery and Intelligence
Q20895966,Intelligent Machinery
Q622849,halting problem
Q163310,Turing machine
Q189223,Turing test
Q197970,Turing completeness
Q309157,Church–Turing thesis
Q2703890,universal Turing machine
Q7661303,Symmetric Turing machine
Q1190223,non-deterministic Turing machine
Q480476,Bombe
Q1191836,probabilistic Turing machine
Q1527413,Turing degree
Q133854517,Q133854517
Q309157,Church–Turing thesis
Q4353569,Church–Turing–Deutsch principle
Q5501323,Frege–Church ontology
Q1308502,Church–Rosser theorem
Q18212353,Church–Turing theorem
Q242028,lambda calculus
Q5583769,Good–Turing frequency estimation
Q501747,Naming and Necessity
Q15241057,Wolfram Language
Q2987018,A New Kind of Science
Q81294,Mathematica
Q34308373,Alan Turing: The Enigma
Q20895949,"On Computable Numbers, with an Application to the Entscheidungsproblem"
Q772056,Computing Machinery and Intelligence
Q20895966,Intelligent Machinery
Q622849,halting problem
Q163310,Turing machine
Q189223,Turing test
Q197970,Turing completeness
Q309157,Church–Turing thesis
Q2703890,universal Turing machine
Q7661303,Symmetric Turing machine
Q1190223,non-deterministic Turing machine
Q480476,Bombe
Q1191836,probabilistic Turing machine
Q1527413,Turing degree
Q133854517,Q133854517
Q309157,Church–Turing thesis
Q4353569,Church–Turing–Deutsch principle
Q5501323,Frege–Church ontology
Q1308502,Church–Rosser theorem
Q18212353,Church–Turing theorem
Q242028,lambda calculus
Q5583769,Good–Turing frequency estimation
Q501747,Naming and Necessity
Q15241057,Wolfram Language
Q2987018,A New Kind of Science
Q81294,Mathematica
Q34308373,Alan Turing: The Enigma
